mode,label,transport,global_batch_seqs,gpus,timed_step_index,step_ms,source_file
ddp_naive,Naive,Forced TCP/loopback,64,8,0,1650.5,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,1,1456.1,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,2,1447.4,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,3,1408.0,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,4,1449.8,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,5,1465.9,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,6,1620.8,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,7,1629.9,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,8,1367.3,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,9,1725.3,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,10,1756.3,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,11,1740.4,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,12,1720.2,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,13,1757.4,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_naive,Naive,Forced TCP/loopback,64,8,14,1744.0,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,0,1209.4,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,1,1207.7,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,2,1194.8,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,3,1123.6,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,4,1223.1,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,5,1125.5,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,6,1140.8,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,7,1116.4,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,8,1130.4,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,9,1132.5,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,10,1112.8,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,11,1155.9,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,12,1130.5,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,13,1502.6,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_bucketed,Bucketed,Forced TCP/loopback,64,8,14,1651.0,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,0,1177.6,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,1,1164.3,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,2,1176.7,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,3,1178.1,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,4,1173.6,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,5,1231.7,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,6,1167.6,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,7,1132.7,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,8,1137.4,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,9,1145.3,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,10,1169.3,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,11,1180.2,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,12,1249.1,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,13,1204.9,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,Forced TCP/loopback,64,8,14,1218.0,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,0,1220.1,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,1,1158.1,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,2,1134.9,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,3,1189.5,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,4,1217.9,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,5,1173.7,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,6,1224.3,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,7,1435.7,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,8,1433.0,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,9,1205.0,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,10,1243.3,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,11,1200.9,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,12,1528.7,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,13,1463.1,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_torch,PyTorch DDP,Forced TCP/loopback,64,8,14,1453.6,out/prime-diloco/session_out/bench-control/20260821T150140Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,0,337.1,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,1,337.4,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,2,338.5,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
ddp_interleaved,Interleaved,NVLink NV12,480,8,3,338.9,out/prime-pcie/session_out/bench-8gpu/20260821T170426Z/results.json
