step,tokens_billions,replica_mean,replica_min,replica_max,replica_spread,synced_val_loss,merge_delta,status,source_file
0,0.0,10.8251,10.8251,10.8251,0.0,10.8251,0.0,measured,out/prime-diloco/session_out/train.log
500,0.24576,5.370825,5.3253,5.4174,0.0920999999999994,6.5805,1.2096749999999998,measured,out/prime-diloco/session_out/train.log
1000,0.49152,4.9495625,4.9315,4.961,0.029500000000000526,5.0144,0.06483750000000033,measured,out/prime-diloco/session_out/train.log
1500,0.73728,4.5742875000000005,4.5586,4.5969,0.03829999999999956,4.4256,-0.1486875000000003,measured,out/prime-diloco/session_out/train.log
2000,0.98304,4.3853125,4.3707,4.4021,0.03139999999999965,4.1865,-0.19881250000000072,measured,out/prime-diloco/session_out/train.log
2500,1.2288,4.262425,4.2508,4.2758,0.025000000000000355,4.0396,-0.22282500000000027,measured,out/prime-diloco/session_out/train.log
3000,1.47456,4.1654875,4.159,4.1716,0.012599999999999945,3.9361,-0.22938750000000008,measured,out/prime-diloco/session_out/train.log
3500,1.72032,4.1027000000000005,4.0997,4.1061,0.006399999999999295,3.8695,-0.23320000000000052,measured,out/prime-diloco/session_out/train.log
4000,1.96608,4.0562249999999995,4.0491,4.0642,0.015099999999999447,3.8204,-0.23582499999999973,measured,out/prime-diloco/session_out/train.log
4500,2.21184,4.0133375,4.0085,4.0199,0.011400000000000077,3.7797,-0.2336374999999995,measured,out/prime-diloco/session_out/train.log
5000,2.4576,3.9853125,3.978,3.9943,0.01629999999999976,3.7481,-0.23721250000000005,measured,out/prime-diloco/session_out/train.log
5500,2.70336,3.9625125,3.9538,3.9821,0.02829999999999977,3.7219,-0.24061249999999967,measured,out/prime-diloco/session_out/train.log
6000,2.94912,3.9346125,3.9302,3.942,0.011800000000000033,3.6989,-0.2357125,measured,out/prime-diloco/session_out/train.log
6500,3.19488,3.9200875,3.9137,3.9283,0.014600000000000168,3.6806,-0.23948750000000008,measured,out/prime-diloco/session_out/train.log
7000,3.44064,3.905675,3.8978,3.9222,0.024399999999999977,3.6634,-0.2422749999999998,measured,out/prime-diloco/session_out/train.log
7500,3.6864,3.8895,3.8863,3.8947,0.008399999999999963,3.6478,-0.2416999999999998,measured,out/prime-diloco/session_out/train.log
8000,3.93216,3.8804,3.8704,3.8857,0.01529999999999987,3.6372,-0.24319999999999986,measured,out/prime-diloco/session_out/train.log
8500,4.17792,3.8726,3.868,3.8786,0.010600000000000165,3.6272,-0.24539999999999962,measured,out/prime-diloco/session_out/train.log
9000,4.42368,3.8628625,3.856,3.874,0.018000000000000238,3.6152,-0.24766249999999967,measured,out/prime-diloco/session_out/train.log
9500,4.66944,3.716075,3.7137,3.7194,0.005700000000000038,3.5603,-0.15577500000000022,measured,out/prime-diloco/session_out/train.log
9999,4.91470848,3.5636375,3.5629,3.5642,0.0013000000000000789,3.5183,-0.04533750000000003,measured,out/prime-diloco/session_out/train.log
