fabric,micro_batch,global_batch_seqs,tokens_per_rank_per_backward,gpus,mode,label,timed_steps,mean_ms,median_ms,std_ms,min_ms,gpu,status,source_file
Forced TCP/loopback,8,16,8192,2,ddp_bucketed,Bucketed,10,346.54,346.85,2.293081381508787,342.4,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m8/20260824T155727Z/results.json
Forced TCP/loopback,8,16,8192,2,ddp_interleaved,Interleaved,10,344.88,344.0,5.568323106844846,337.3,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m8/20260824T155727Z/results.json
Forced TCP/loopback,8,16,8192,2,ddp_naive,Naive,10,357.40999999999997,357.5,2.870327120343215,353.4,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m8/20260824T155727Z/results.json
Forced TCP/loopback,8,16,8192,2,ddp_torch,PyTorch DDP,10,314.64,312.5,4.202697546417856,310.4,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m8/20260824T155727Z/results.json
Forced TCP/loopback,16,32,16384,2,ddp_bucketed,Bucketed,10,412.03999999999996,411.1,3.1528470379078795,409.4,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m16/20260824T155858Z/results.json
Forced TCP/loopback,16,32,16384,2,ddp_interleaved,Interleaved,10,458.65999999999997,461.1,11.533930620372038,428.4,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m16/20260824T155858Z/results.json
Forced TCP/loopback,16,32,16384,2,ddp_naive,Naive,10,501.14,501.25,2.183880338602224,497.4,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m16/20260824T155858Z/results.json
Forced TCP/loopback,16,32,16384,2,ddp_torch,PyTorch DDP,10,392.89,384.45,14.17654165631849,382.6,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m16/20260824T155858Z/results.json
Forced TCP/loopback,30,60,30720,2,ddp_bucketed,Bucketed,10,523.38,527.0,8.552686387588656,504.7,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m30/20260824T160048Z/results.json
Forced TCP/loopback,30,60,30720,2,ddp_interleaved,Interleaved,10,529.8199999999999,534.6,14.11648366666114,492.6,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m30/20260824T160048Z/results.json
Forced TCP/loopback,30,60,30720,2,ddp_naive,Naive,10,533.5,535.45,15.062167469819512,514.4,NVIDIA A100-SXM4-80GB,measured,out/ratio-sweep-full/session_out/sweep-tcp-m30/20260824T160048Z/results.json
